chipId chipName ampName nx ny xoff yoff gain sat readnoise
30 S6 B 1024 4096 0 0 4.016 44346 10.405
31 S7 A 1024 4096 1080 0 3.510 37951 9.624
31 S7 B 1024 4096 0 0 3.940 44138 10.071
32 N1 A 1024 4096 0 0 3.875 50304 5.789
32 N1 B 1024 4096 1080 0 3.924 45586 6.102
33 N2 A 1024 4096 0 0 3.944 44938 5.959
33 N2 B 1024 4096 1080 0 4.156 42834 6.163
34 N3 A 1024 4096 0 0 3.915 39748 5.833
34 N3 B 1024 4096 1080 0 4.068 49000 5.935
35 N4 A 1024 4096 0 0 4.025 44144 12.268
35 N4 B 1024 4096 1080 0 4.077 43448 11.954
36 N5 A 1024 4096 0 0 3.989 45844 12.162
36 N5 B 1024 4096 1080 0 4.180 43798 12.314
37 N6 A 1024 4096 0 0 4.006 46753 11.449
37 N6 B 1024 4096 1080 0 4.295 39364 11.837
38 N7 A 1024 4096 0 0 4.435 40983 12.689
38 N7 B 1024 4096 1080 0 4.271 42716 12.189
39 N8 A 1024 4096 0 0 3.869 44177 5.877
39 N8 B 1024 4096 1080 0 4.160 42492 6.020
40 N9 A 1024 4096 0 0 3.843 51000 5.718
40 N9 B 1024 4096 1080 0 4.096 44144 5.923
41 N10 A 1024 4096 0 0 3.911 47271 5.941
41 N10 B 1024 4096 1080 0 4.127 39973 6.170
42 N11 A 1024 4096 0 0 4.018 45678 5.975
42 N11 B 1024 4096 1080 0 3.983 46060 6.074
43 N12 A 1024 4096 0 0 4.008 39602 6.064
43 N12 B 1024 4096 1080 0 3.917 40252 5.907
44 N13 A 1024 4096 0 0 3.788 38914 5.970
44 N13 B 1024 4096 1080 0 3.970 43511 6.241
45 N14 A 1024 4096 0 0 3.903 48694 5.878
45 N14 B 1024 4096 1080 0 4.139 42599 6.026
46 N15 A 1024 4096 0 0 4.036 38696 5.836
46 N15 B 1024 4096 1080 0 4.148 37655 6.039
47 N16 A 1024 4096 0 0 3.991 46559 5.971
47 N16 B 1024 4096 1080 0 4.046 41908 5.895
48 N17 A 1024 4096 0 0 4.026 41302 6.047
48 N17 B 1024 4096 1080 0 4.260 38771 6.275
49 N18 A 1024 4096 0 0 3.981 49133 5.824
49 N18 B 1024 4096 1080 0 4.134 42883 6.135
50 N19 A 1024 4096 0 0 3.950 46642 5.806
50 N19 B 1024 4096 1080 0 4.188 40239 6.114
51 N20 A 1024 4096 0 0 3.940 48450 5.760
51 N20 B 1024 4096 1080 0 4.135 39981 6.016
52 N21 A 1024 4096 0 0 4.005 40268 5.923
52 N21 B 1024 4096 1080 0 4.076 42913 5.975
53 N22 A 1024 4096 0 0 3.998 40698 6.101
53 N22 B 1024 4096 1080 0 4.142 42397 6.080
54 N23 A 1024 4096 0 0 3.877 50306 5.947
54 N23 B 1024 4096 1080 0 4.156 41791 6.188
55 N24 A 1024 4096 0 0 3.830 46959 5.979
55 N24 B 1024 4096 1080 0 3.837 43185 5.913
56 N25 A 1024 4096 0 0 3.892 48147 5.748
56 N25 B 1024 4096 1080 0 4.091 42401 5.875
57 N26 A 1024 4096 0 0 3.759 36677 5.932
57 N26 B 1024 4096 1080 0 3.665 33214 5.725
58 N27 A 1024 4096 0 0 4.215 43135 6.116
58 N27 B 1024 4096 1080 0 4.072 41106 6.067
59 N28 A 1024 4096 0 0 3.959 41544 5.923
59 N28 B 1024 4096 1080 0 3.881 42196 5.868
60 N29 A 1024 4096 0 0 3.743 43295 5.832
60 N29 B 1024 4096 1080 0 3.616 41383 5.760
61 N30 A 1024 4096 0 0 3.700 56282 5.472
61 N30 B 1024 4096 1080 0 4.140 45592 6.541
62 N31 A 1024 4096 0 0 3.743 47995 5.465
62 N31 B 1024 4096 1080 0 3.487 43079 5.813
