ccdnum    ID       xmin       xmax       ymin       ymax     rotcor
1         E1    -64.170   -33.450     -61.690     -0.250     0.000
2         E2    -31.430    -0.710     -61.690     -0.250     0.000
3         E3      1.310    32.030     -61.690     -0.250     0.000
4         E4     34.050    64.770     -61.690     -0.250     0.000
5         W5    -64.770   -34.050       0.250     61.690     0.000
6         W6    -32.030    -1.310       0.250     61.690     0.000
7         W7      0.710    31.430       0.250     61.690     0.000
8         W8     33.450    64.170       0.250     61.690     0.000
